customerid,customer_name,country,state,gender,dob,interests,pincode,subscription_start_date,subscription_type,plan_type,contract_type,renewal_date,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,ticket_id,complaint_date,escalations,csat_score,complaint_count
0129-OBDCP,Aisha Gurung,India,Gujarat,Male,1982-12-15,"Documentaries, Live TV",395589,2024-01-09,Refferal,basic,Annually,2027-01-12,2026-05-04,Switched to competitor,15.99,1031.0,74,1,321.0,2026-04-30,Y,1.0,2.0
0130-FDGQA,Amit Smith,India,Bihar,Female,1981-09-10,"Documentaries, Live TV",800474,2024-06-10,Refferal,standard,Annually,2026-08-16,2026-04-08,Content fatigue,26.99,1443.0,85,1,45.0,2026-03-17,Y,3.0,1.0
0131-AXDNP,Vikram Kumar,Nepal,Madhesh,Female,1989-11-02,"Documentaries, Live TV",44345,2025-11-07,Organic,premium,Annually,2027-03-19,2026-04-28,Switched to competitor,19.99,1205.0,100,1,322.0,2026-04-18,Y,1.0,2.0
0132-QYNBA,Arjun Karki,Nepal,Gandaki,Male,1978-05-21,"Movies, Sports",33740,2025-09-14,Organic,premium,Annually,2027-05-12,,,28.99,1369.0,12,0,,,,,
0133-HWUDX,Rahul Adhikari,India,Kerala,Male,2000-05-02,"Documentaries, Live TV",695989,2024-11-19,Paid,basic,Monthly,2027-03-03,2026-06-13,Switched to competitor,22.99,1432.0,88,1,47.0,2026-05-30,Y,1.0,1.0
0134-PMRXZ,Anjali Adhikari,India,Gujarat,Male,2005-12-02,"Movies, Sports",395409,2025-07-13,Refferal,basic,Annually,2026-07-14,2026-06-10,Too expensive,12.99,1239.0,74,1,48.0,2026-05-05,Y,3.0,1.0
0135-TFDFM,Kiran Maharjan,India,Karnataka,Female,1974-04-01,Sports,560162,2026-01-16,Paid,premium,Annually,2027-01-04,,,19.99,1549.0,10,0,,,,,
0136-KAZPY,Rohan Shah,Nepal,Sudurpashchim,Female,1983-02-05,Web Series,10921,2024-09-21,Paid,standard,Annually,2027-05-05,2026-05-06,Content fatigue,9.99,263.0,98,1,323.0,2026-05-03,Y,1.0,2.0
0137-ZIXLH,Pooja Gurung,India,Maharashtra,Male,1976-11-09,"Documentaries, Live TV",400016,2023-09-08,Paid,basic,Annually,2027-05-19,,,27.99,271.0,24,0,,,,,
0138-TDHWS,Sarah Yadav,India,Madhya Pradesh,Female,1995-10-17,"Movies, Sports",462051,2024-12-06,Refferal,basic,Annually,2027-02-18,,,18.99,833.0,1,0,,,,,
0139-AGYCZ,Gaurav Shrestha,Nepal,Bagmati,Female,1982-03-23,"Movies, Sports",44776,2023-07-19,Refferal,premium,Monthly,2027-07-05,,,22.99,560.0,26,0,,,,,
0140-DRTJO,Aisha Karki,India,Tamil Nadu,Male,1972-01-22,Web Series,600052,2026-03-10,Organic,basic,Annually,2026-11-18,2026-05-11,Too expensive,11.99,215.0,100,1,324.0,2026-05-04,Y,1.0,2.0
0141-TKKZT,John Adhikari,India,Assam,Male,1981-04-04,Web Series,781842,2026-03-03,Paid,standard,Annually,2026-11-19,,,13.99,1563.0,21,0,,,,,
0142-JYNHC,Ravi Smith,Nepal,Bagmati,Male,1993-02-12,Sports,44761,2025-11-06,Organic,basic,Monthly,2027-03-20,,,25.99,342.0,2,0,,,,,
0143-MBBFB,Kavita Singh,Nepal,Kathmandu,Female,1999-11-15,Sports,44607,2025-01-07,Organic,basic,Annually,2027-01-17,,,13.99,1385.0,28,0,,,,,
0144-XVYIK,John Karki,India,Rajasthan,Male,1976-03-28,"Movies, Sports",302604,2024-10-19,Refferal,basic,Monthly,2027-04-09,,,18.99,748.0,30,0,204.0,2025-11-22,N,4.0,1.0
0145-FYKYQ,Ruhul Patel,Nepal,Bagmati,Female,1993-01-16,"Movies, Sports",44737,2024-10-17,Organic,premium,Monthly,2027-04-09,,,25.99,1146.0,6,0,205.0,2026-02-11,N,4.0,1.0
0146-SPHAA,Sarah Gurung,India,Rajasthan,Female,2000-09-16,"Movies, Sports",302031,2025-05-14,Paid,basic,Monthly,2026-09-12,2026-05-06,Switched to competitor,10.99,1506.0,96,1,325.0,2026-04-27,Y,1.0,2.0
0147-HSICI,Amit Gurung,Nepal,Bagmati,Female,1972-07-22,Web Series,44764,2025-04-14,Refferal,premium,Monthly,2026-10-14,2026-05-11,Too expensive,10.99,152.0,100,1,52.0,2026-04-19,Y,2.0,1.0
0148-MFYSZ,Kiran Thapa,India,Bihar,Female,1989-08-09,Web Series,800956,2023-10-22,Organic,standard,Monthly,2027-04-07,,,23.99,432.0,19,0,,,,,
0149-EOQZW,Priya Maharjan,Nepal,Karnali,Female,2002-11-15,Web Series,21231,2023-12-11,Refferal,standard,Monthly,2027-02-10,2026-06-04,Switched to competitor,19.99,732.0,84,1,326.0,2026-05-28,Y,1.0,2.0
0150-GWTPS,Sarah Kumar,Nepal,Madhesh,Male,2001-04-06,Web Series,44352,2024-02-02,Organic,standard,Annually,2026-12-19,2026-07-07,Too expensive,15.99,1231.0,91,1,54.0,2026-05-13,Y,1.0,1.0
0151-CVEQO,Pooja Shrestha,India,Gujarat,Female,1994-07-23,Sports,395904,2024-12-20,Organic,basic,Annually,2027-01-31,,,20.99,1023.0,4,0,,,,,
0152-YNHEZ,Pooja Joshi,India,Delhi,Female,1993-09-05,"Movies, Sports",110130,2023-08-12,Refferal,standard,Monthly,2027-06-11,,,23.99,1052.0,18,0,,,,,
0153-POKWQ,Sarah Karki,Nepal,Bagmati,Male,1983-12-06,"Documentaries, Live TV",44794,2023-08-23,Refferal,basic,Annually,2027-05-31,2026-04-25,Content fatigue,17.99,1527.0,85,1,55.0,2026-03-31,Y,2.0,1.0
0154-BHJNJ,Neha Karki,Nepal,Karnali,Male,1996-02-29,"Documentaries, Live TV",21225,2024-08-18,Organic,premium,Annually,2027-06-08,,,21.99,1155.0,21,0,,,,,
0155-EKATQ,Arjun Gurung,Nepal,Lumbini,Female,1983-02-20,"Documentaries, Live TV",32957,2024-04-30,Organic,basic,Monthly,2026-09-24,,,15.99,420.0,6,0,206.0,2025-10-20,N,4.0,1.0
0156-CSAPU,Aisha Gupta,India,Delhi,Male,1980-10-28,"Documentaries, Live TV",110863,2026-01-15,Refferal,standard,Annually,2027-01-07,2026-04-06,Switched to competitor,12.99,123.0,77,1,327.0,2026-03-30,Y,1.0,2.0
0157-TZMAA,John Smith,India,Assam,Male,1985-02-21,"Movies, Sports",781986,2024-08-24,Refferal,premium,Monthly,2027-06-04,,,9.99,1204.0,10,0,,,,,
0158-ASSIP,Ravi Shrestha,India,Odisha,Female,1978-08-28,"Movies, Sports",751051,2025-04-21,Organic,premium,Annually,2026-10-01,,,16.99,741.0,18,0,207.0,2026-03-08,N,4.0,1.0
0159-MKSBX,Kiran Maharjan,Nepal,Madhesh,Female,1972-07-02,Sports,44307,2025-04-07,Paid,standard,Monthly,2026-10-15,,,15.99,312.0,24,0,208.0,2026-07-03,N,4.0,1.0
0160-ZUEAZ,Sarah Sharma,India,Kerala,Male,1989-05-11,Web Series,695876,2024-09-19,Organic,standard,Monthly,2027-05-05,,,25.99,1190.0,1,0,,,,,
0161-WIJWD,Rahul Gurung,India,Kerala,Male,1978-12-17,Web Series,695250,2024-11-23,Paid,basic,Monthly,2027-03-01,,,16.99,934.0,26,0,,,,,
0162-TCSBG,Kavita Lama,Nepal,Lumbini,Male,1978-03-05,"Movies, Sports",32958,2025-01-26,Refferal,standard,Annually,2026-12-25,2026-06-01,Switched to competitor,27.99,1525.0,96,1,57.0,2026-05-17,Y,2.0,1.0
0163-JKDCB,Rohan Joshi,India,Rajasthan,Male,1993-10-26,"Documentaries, Live TV",302393,2025-10-29,Refferal,premium,Annually,2027-03-30,,,23.99,101.0,13,0,209.0,2026-03-05,N,5.0,1.0
0164-DBPHK,Neha Smith,India,Bihar,Female,1997-12-14,Sports,800094,2025-07-24,Refferal,premium,Monthly,2027-07-05,,,27.99,970.0,7,0,,,,,
0165-OZQHK,Rohan Rai,Nepal,Koshi,Male,1978-12-28,"Documentaries, Live TV",56751,2024-01-07,Paid,standard,Annually,2027-01-20,2026-06-07,Content fatigue,22.99,1491.0,97,1,58.0,2026-04-26,Y,3.0,1.0
0166-SZSLV,Ruhul Chaudhary,India,Gujarat,Female,1988-01-20,Web Series,395908,2025-05-10,Refferal,standard,Annually,2026-09-18,,,22.99,787.0,5,0,,,,,
0167-PDHUY,Amit Adhikari,Nepal,Bagmati,Female,1974-07-26,"Documentaries, Live TV",44736,2024-10-05,Paid,basic,Annually,2027-04-21,,,10.99,997.0,16,0,,,,,
0168-ZWNOK,Neha Kumar,India,Uttar Pradesh,Female,1984-06-17,"Movies, Sports",226151,2024-07-14,Organic,basic,Monthly,2027-07-09,,,21.99,1102.0,5,0,,,,,
0169-LNBAU,Priya Thapa,Nepal,Bagmati,Male,1999-04-03,"Movies, Sports",44748,2025-12-18,Paid,standard,Annually,2027-02-06,,,12.99,1403.0,25,0,210.0,2026-05-07,N,5.0,1.0
0170-QQTUX,Ruhul Gupta,India,West Bengal,Female,2004-01-15,Sports,700488,2024-01-24,Paid,basic,Monthly,2027-01-01,2026-05-30,Switched to competitor,14.99,896.0,82,1,328.0,2026-05-24,Y,1.0,2.0
0171-BTLPF,Neha Yadav,Nepal,Kathmandu,Male,2004-03-22,Sports,44692,2024-02-25,Organic,premium,Monthly,2026-11-28,2026-05-16,Content fatigue,15.99,1446.0,100,1,329.0,2026-05-10,Y,1.0,2.0
0172-ASTPY,Ruhul Sharma,Nepal,Karnali,Male,1983-04-09,"Movies, Sports",21214,2025-11-25,Organic,standard,Annually,2027-02-25,,,15.99,445.0,15,0,,,,,
0173-EIHMY,Pooja Shah,India,Telangana,Female,1998-08-23,"Documentaries, Live TV",500163,2025-07-26,Paid,basic,Monthly,2027-06-29,,,19.99,464.0,22,0,,,,,
0174-HTEIY,Pooja Singh,India,Uttar Pradesh,Male,1979-12-06,"Movies, Sports",226223,2024-10-22,Organic,basic,Monthly,2027-04-04,,,26.99,1512.0,15,0,,,,,
0175-TQTCG,Aisha Joshi,India,Karnataka,Male,1976-04-10,"Documentaries, Live TV",560140,2025-03-17,Organic,basic,Annually,2026-11-09,,,15.99,1515.0,24,0,,,,,
0176-KMXRJ,Sarah Chaudhary,Nepal,Sudurpashchim,Male,1975-06-25,"Movies, Sports",10995,2023-11-04,Paid,premium,Monthly,2027-03-23,2026-04-24,Too expensive,23.99,350.0,75,1,330.0,2026-04-18,Y,1.0,2.0
0177-TTLFM,Pooja Maharjan,India,Rajasthan,Female,1990-07-19,"Movies, Sports",302636,2025-11-19,Paid,premium,Monthly,2027-03-05,,,11.99,340.0,25,0,,,,,
0178-NXJQE,Kavita Shrestha,Nepal,Bagmati,Male,1975-08-22,Web Series,44719,2023-08-28,Organic,standard,Monthly,2027-05-30,,,25.99,1046.0,22,0,211.0,2025-10-10,N,3.0,1.0
0179-XCJOT,Sneha Singh,Nepal,Bagmati,Female,1997-12-01,"Movies, Sports",44736,2026-04-29,Organic,standard,Annually,2026-09-29,,,25.99,817.0,21,0,212.0,2026-03-07,N,4.0,1.0
0180-RCKRU,Vikram Joshi,India,Karnataka,Female,1980-01-16,"Movies, Sports",560858,2024-07-07,Refferal,basic,Annually,2026-07-16,2026-05-19,Switched to competitor,18.99,675.0,73,1,331.0,2026-05-12,Y,1.0,2.0
0181-SIFXU,Kavita Kumar,Nepal,Lumbini,Male,1979-07-13,"Documentaries, Live TV",32959,2023-08-19,Organic,premium,Monthly,2027-06-06,2026-06-30,Content fatigue,16.99,922.0,73,1,63.0,2026-05-17,Y,2.0,1.0
0182-RKTUQ,Priya Kumar,Nepal,Lumbini,Female,1978-11-15,Sports,32950,2025-08-28,Refferal,premium,Annually,2027-05-25,2026-04-26,Switched to competitor,22.99,837.0,74,1,332.0,2026-04-19,Y,1.0,2.0
0183-LQFGN,Sunita Lama,India,Karnataka,Male,1973-03-19,Web Series,560350,2024-12-09,Organic,premium,Annually,2027-02-13,,,25.99,867.0,29,0,213.0,2025-11-27,N,5.0,1.0
0184-UAOHE,Sanjay Magar,India,Madhya Pradesh,Male,2001-01-10,Web Series,462309,2026-05-16,Paid,basic,Annually,2026-09-10,,,12.99,1069.0,21,0,,,,,
0185-RQFOB,Vikram Yadav,India,Punjab,Female,1994-06-20,"Documentaries, Live TV",144036,2026-02-28,Refferal,standard,Annually,2026-11-24,,,9.99,769.0,9,0,,,,,
0186-DBPNE,Sneha Patel,India,Karnataka,Male,1979-01-17,Sports,560921,2025-01-03,Refferal,premium,Monthly,2027-01-23,2026-07-09,Switched to competitor,19.99,1522.0,88,1,65.0,2026-06-08,Y,1.0,1.0
0187-CYELV,John Kumar,Nepal,Sudurpashchim,Male,1989-01-16,"Documentaries, Live TV",10961,2025-12-02,Paid,standard,Annually,2027-02-20,2026-06-06,Too expensive,28.99,959.0,6,1,66.0,2026-05-05,N,2.0,1.0
0188-SQQAV,Vikram Rai,Nepal,Koshi,Male,1992-01-07,"Movies, Sports",56764,2024-11-01,Organic,basic,Monthly,2027-03-25,,,17.99,454.0,15,0,214.0,2025-12-13,N,3.0,1.0
0189-ZWFOM,Priya Adhikari,India,Madhya Pradesh,Female,1988-06-19,Sports,462054,2025-09-27,Organic,standard,Monthly,2027-05-01,,,21.99,822.0,2,0,,,,,
0190-CNCJN,Kiran Patel,Nepal,Lumbini,Male,1983-11-04,"Documentaries, Live TV",32904,2025-03-11,Refferal,standard,Monthly,2026-11-11,2026-04-26,Too expensive,20.99,102.0,100,1,67.0,2026-03-05,Y,1.0,1.0
0191-EOAHB,John Thapa,Nepal,Gandaki,Female,1974-05-19,"Documentaries, Live TV",33720,2023-07-24,Paid,basic,Monthly,2027-07-02,,,26.99,560.0,64,0,215.0,2025-12-28,Y,4.0,1.0
0192-EQTEU,Amit Smith,Nepal,Madhesh,Female,1981-12-21,Web Series,44346,2025-09-10,Refferal,basic,Monthly,2027-05-16,,,27.99,636.0,16,0,216.0,2026-02-21,N,4.0,1.0
0193-JKHAU,Kavita Adhikari,Nepal,Madhesh,Female,1992-03-06,Sports,44319,2025-05-27,Organic,standard,Annually,2026-09-01,,,26.99,901.0,11,0,217.0,2025-12-08,N,5.0,1.0
0194-KEYHE,Pooja Sharma,India,Tamil Nadu,Female,2001-05-09,"Movies, Sports",600988,2023-10-12,Organic,standard,Monthly,2027-04-15,2026-04-16,Switched to competitor,14.99,822.0,97,1,68.0,2026-04-02,Y,2.0,1.0
0195-IZVPG,John Lama,India,Karnataka,Male,1982-07-26,"Documentaries, Live TV",560529,2024-11-17,Organic,basic,Annually,2027-03-11,,,21.99,973.0,5,0,218.0,2026-06-19,N,5.0,1.0
0196-MFIIZ,John Shah,Nepal,Bagmati,Male,1980-01-16,"Documentaries, Live TV",44757,2024-09-26,Refferal,basic,Monthly,2027-04-26,,,14.99,508.0,7,0,219.0,2026-04-27,N,5.0,1.0
0197-HKXFV,Neha Magar,India,Tamil Nadu,Female,1976-06-04,Sports,600897,2025-05-13,Organic,premium,Annually,2026-09-09,,,11.99,1475.0,21,0,,,,,
0198-TCCLT,Arjun Gupta,Nepal,Koshi,Male,1985-12-25,"Movies, Sports",56754,2024-10-09,Paid,standard,Annually,2027-04-19,2026-05-19,Content fatigue,14.99,1073.0,82,1,69.0,2026-03-26,Y,1.0,1.0
0199-IVSNJ,Gaurav Tamang,Nepal,Gandaki,Female,1981-11-03,Sports,33704,2024-01-29,Refferal,standard,Annually,2026-12-29,,,14.99,425.0,26,0,220.0,2026-04-15,N,5.0,1.0
0200-FXVFV,Gaurav Thapa,India,Gujarat,Female,1993-07-23,Web Series,395563,2025-06-05,Refferal,standard,Monthly,2026-08-19,2026-04-07,Content fatigue,9.99,1090.0,90,1,333.0,2026-04-04,Y,1.0,2.0
0201-GUHYP,Ruhul Shah,India,Odisha,Female,2003-07-19,Web Series,751403,2026-03-17,Organic,basic,Annually,2026-11-07,2026-06-26,Switched to competitor,14.99,1023.0,77,1,71.0,2026-05-07,Y,3.0,1.0
0202-DYNHQ,Kavita Patel,Nepal,Lumbini,Female,2002-05-23,Web Series,32963,2024-06-09,Organic,basic,Monthly,2026-08-17,,,13.99,1052.0,22,0,221.0,2026-06-15,N,3.0,1.0
0203-SSXET,Sunita Adhikari,Nepal,Sudurpashchim,Female,1984-10-19,"Documentaries, Live TV",10926,2023-10-22,Organic,standard,Annually,2027-04-01,,,27.99,735.0,4,0,222.0,2026-03-05,N,5.0,1.0
0204-XQHIH,Kiran Thapa,India,Uttar Pradesh,Male,1986-10-23,Sports,226324,2024-11-29,Organic,standard,Annually,2027-02-23,2026-04-19,Too expensive,27.99,1447.0,73,1,72.0,2026-03-23,Y,3.0,1.0
0205-GERBJ,John Tamang,India,Punjab,Male,1973-04-30,"Movies, Sports",144031,2024-07-10,Refferal,premium,Monthly,2026-07-17,2026-04-23,Switched to competitor,16.99,1598.0,86,1,334.0,2026-04-18,Y,1.0,2.0
0206-SCLSK,Arjun Thapa,Nepal,Bagmati,Female,2001-06-05,"Movies, Sports",44792,2024-08-24,Organic,basic,Monthly,2027-05-29,,,22.99,998.0,10,0,223.0,2026-06-06,N,4.0,1.0
0207-YUONT,Aisha Thapa,India,Odisha,Female,2004-05-25,Web Series,751835,2023-09-21,Organic,premium,Annually,2027-05-06,2026-06-14,Too expensive,26.99,121.0,100,1,74.0,2026-05-23,Y,3.0,1.0
0208-RKMQJ,John Smith,Nepal,Sudurpashchim,Male,1988-05-13,"Movies, Sports",10919,2024-02-28,Organic,basic,Annually,2026-11-23,,,12.99,821.0,17,0,224.0,2025-11-12,N,5.0,1.0
0209-JYHQN,Aisha Rai,Nepal,Bagmati,Male,1981-07-16,"Documentaries, Live TV",44797,2023-09-15,Organic,standard,Monthly,2027-05-10,2026-06-02,Switched to competitor,23.99,118.0,91,1,75.0,2026-04-12,Y,3.0,1.0
0210-HBHDN,Amit Chaudhary,Nepal,Lumbini,Female,1995-09-09,"Documentaries, Live TV",32903,2024-02-06,Paid,standard,Monthly,2026-12-15,,,11.99,854.0,54,0,225.0,2025-10-28,Y,5.0,1.0
0211-JWRCQ,Sarah Shah,Nepal,Bagmati,Female,1985-08-29,"Movies, Sports",44715,2024-02-10,Organic,basic,Monthly,2026-12-11,2026-06-20,Too expensive,13.99,578.0,89,1,76.0,2026-06-07,Y,2.0,1.0
0212-HFAXG,Kiran Lama,Nepal,Sudurpashchim,Male,1980-05-22,"Movies, Sports",10975,2026-06-18,Refferal,basic,Annually,2026-08-08,,,23.99,1249.0,13,0,,,,,
0213-YTJCH,Ruhul Magar,India,Assam,Female,2003-12-13,Web Series,781143,2025-02-26,Organic,basic,Annually,2026-11-28,2026-05-14,Too expensive,17.99,373.0,73,1,335.0,2026-05-09,Y,1.0,2.0
0214-DXVFP,Kavita Joshi,Nepal,Lumbini,Male,1984-01-31,"Documentaries, Live TV",32913,2024-07-24,Refferal,basic,Monthly,2027-07-01,,,9.99,872.0,21,0,226.0,2026-07-13,N,5.0,1.0
0215-RRDDF,Sunita Shah,Nepal,Koshi,Female,1972-08-23,Sports,56707,2024-11-26,Refferal,premium,Annually,2027-02-24,,,23.99,461.0,7,0,,,,,
0216-PMYJH,Sarah Shah,Nepal,Lumbini,Male,1971-06-27,Web Series,32969,2024-10-23,Paid,basic,Annually,2027-04-03,,,10.99,283.0,20,0,227.0,2026-04-03,N,3.0,1.0
0217-YVSIW,Rohan Thapa,Nepal,Gandaki,Male,1974-03-20,Web Series,33769,2023-08-04,Refferal,standard,Annually,2027-06-25,,,12.99,317.0,30,0,228.0,2026-06-04,N,4.0,1.0
0218-XZBXT,Neha Karki,Nepal,Kathmandu,Female,1978-12-07,"Documentaries, Live TV",44684,2024-09-11,Refferal,basic,Monthly,2027-05-15,2026-06-10,Too expensive,16.99,1388.0,89,1,78.0,2026-06-02,Y,1.0,1.0
0219-BDZXY,Arjun Shah,Nepal,Gandaki,Male,1999-03-25,Web Series,33784,2026-06-10,Paid,standard,Annually,2026-08-14,,,24.99,1351.0,4,0,229.0,2026-05-19,N,4.0,1.0
0220-FWREE,Sarah Chaudhary,Nepal,Kathmandu,Male,2002-10-18,"Documentaries, Live TV",44678,2026-01-26,Refferal,standard,Monthly,2026-12-25,2026-05-27,Switched to competitor,9.99,1030.0,96,1,336.0,2026-05-21,Y,1.0,2.0
0221-NNXHM,Pooja Shrestha,India,Telangana,Male,1996-05-08,Web Series,500325,2026-04-08,Paid,premium,Annually,2026-10-20,,,19.99,325.0,11,0,230.0,2025-11-21,N,3.0,1.0
0222-LJGEX,Aisha Joshi,India,Delhi,Female,1976-06-24,"Documentaries, Live TV",110266,2025-03-29,Organic,premium,Annually,2026-10-24,,,20.99,1349.0,23,0,,,,,
0223-IWRYF,Gaurav Smith,Nepal,Koshi,Male,1979-03-24,"Movies, Sports",56777,2024-08-30,Paid,premium,Annually,2027-05-23,,,24.99,325.0,26,0,,,,,
0224-RMUNS,Sarah Magar,Nepal,Lumbini,Female,1974-09-05,"Movies, Sports",32917,2024-06-10,Organic,standard,Annually,2026-08-16,,,24.99,1209.0,14,0,,,,,
0225-QSZMD,Anjali Shrestha,India,Madhya Pradesh,Female,1996-06-03,"Documentaries, Live TV",462803,2024-02-24,Organic,premium,Annually,2026-11-27,,,25.99,717.0,6,0,231.0,2026-07-05,N,4.0,1.0
0226-UBVPH,Sanjay Adhikari,India,Karnataka,Male,1975-05-10,"Movies, Sports",560286,2023-11-10,Refferal,premium,Annually,2027-03-19,,,13.99,681.0,9,0,,,,,
0227-JLJMR,Amit Tamang,India,Uttar Pradesh,Male,1974-04-05,Web Series,226132,2025-06-08,Refferal,premium,Annually,2026-08-18,,,13.99,309.0,7,0,232.0,2026-05-26,N,4.0,1.0
0228-UGPBX,Arjun Smith,India,Rajasthan,Male,1984-01-01,"Documentaries, Live TV",302041,2024-10-10,Paid,basic,Monthly,2027-04-12,,,26.99,204.0,5,0,,,,,
0229-SNPLC,Sunita Maharjan,Nepal,Madhesh,Female,1972-06-18,Sports,44338,2025-06-16,Organic,basic,Monthly,2026-08-12,2026-04-04,Switched to competitor,23.99,714.0,94,1,80.0,2026-03-24,Y,2.0,1.0
0230-QLZDI,Anjali Tamang,India,Karnataka,Male,1996-03-29,"Movies, Sports",560457,2026-06-08,Organic,basic,Monthly,2026-08-16,2026-05-05,Content fatigue,13.99,204.0,85,1,337.0,2026-04-25,Y,1.0,2.0
0231-VLPYL,Amit Gurung,Nepal,Kathmandu,Female,1979-01-03,"Movies, Sports",44672,2025-09-16,Refferal,basic,Annually,2027-05-08,,,10.99,373.0,21,0,,,,,
0232-IXEJD,Aisha Singh,Nepal,Kathmandu,Female,2000-05-21,Sports,44694,2024-11-21,Refferal,standard,Annually,2027-03-05,,,22.99,785.0,3,0,,,,,
0233-NLJRD,Anjali Singh,India,Punjab,Female,1991-02-20,Sports,144913,2025-12-21,Refferal,premium,Annually,2027-02-03,,,21.99,225.0,10,0,,,,,
0234-YNHHR,Ravi Chaudhary,Nepal,Gandaki,Female,1999-10-11,"Documentaries, Live TV",33779,2026-06-14,Paid,premium,Monthly,2026-08-08,,,15.99,1248.0,9,0,233.0,2025-12-15,N,5.0,1.0
0235-YPXXS,Vikram Smith,Nepal,Karnali,Female,1977-05-01,"Documentaries, Live TV",21262,2024-04-24,Organic,premium,Monthly,2026-09-30,2026-05-25,Too expensive,10.99,612.0,78,1,82.0,2026-05-23,Y,1.0,1.0
0236-MMOOX,Kavita Maharjan,India,Rajasthan,Female,1999-05-16,"Movies, Sports",302719,2023-11-20,Refferal,basic,Monthly,2027-03-07,,,10.99,1240.0,30,0,,,,,
0237-LKEPF,Sneha Yadav,India,Madhya Pradesh,Male,1982-08-08,"Movies, Sports",462188,2023-08-13,Organic,premium,Annually,2027-06-16,,,16.99,1335.0,16,0,,,,,
0238-HNPLC,Sanjay Shrestha,Nepal,Bagmati,Male,2002-03-07,Sports,44726,2024-09-17,Organic,standard,Annually,2027-05-11,,,15.99,1427.0,16,0,234.0,2026-04-30,N,4.0,1.0
0239-RUWKF,Pooja Yadav,India,Bihar,Female,1986-02-15,"Documentaries, Live TV",800124,2023-09-23,Organic,premium,Monthly,2027-05-04,,,22.99,1142.0,21,0,235.0,2026-02-06,N,3.0,1.0
0240-XTRYL,Aisha Lama,Nepal,Bagmati,Female,1977-05-30,Web Series,44778,2025-03-03,Refferal,basic,Monthly,2026-11-21,,,20.99,1360.0,8,0,,,,,
0241-RMAHM,Pooja Singh,India,Tamil Nadu,Female,1995-12-29,"Documentaries, Live TV",600512,2024-01-20,Organic,basic,Annually,2027-01-07,2026-04-16,Too expensive,22.99,853.0,73,1,83.0,2026-03-17,Y,1.0,1.0
0242-OVOJU,Neha Smith,India,Telangana,Male,1978-10-11,Sports,500989,2025-09-07,Organic,premium,Annually,2027-05-21,,,28.99,1371.0,4,0,,,,,
0243-LAWFD,Sarah Joshi,Nepal,Kathmandu,Male,1971-09-04,Web Series,44684,2024-09-15,Refferal,standard,Monthly,2027-05-11,,,24.99,318.0,21,0,,,,,
0244-LGGPM,Kavita Yadav,Nepal,Madhesh,Male,1994-11-12,Sports,44334,2024-03-21,Paid,basic,Annually,2026-11-07,,,22.99,401.0,8,0,236.0,2026-06-22,N,3.0,1.0
0245-IGHKE,Amit Tamang,Nepal,Karnali,Female,1974-03-01,Sports,21285,2025-06-07,Refferal,basic,Monthly,2026-08-21,2026-06-04,Too expensive,19.99,772.0,75,1,84.0,2026-05-08,Y,3.0,1.0
0246-DLGFL,Neha Singh,Nepal,Gandaki,Female,2003-11-20,Web Series,33739,2025-02-28,Refferal,basic,Annually,2026-11-26,2026-06-15,Switched to competitor,20.99,1071.0,14,1,85.0,2026-05-02,N,2.0,1.0
0247-SVDVA,Priya Magar,Nepal,Karnali,Female,1995-09-12,Web Series,21250,2025-03-09,Refferal,premium,Annually,2026-11-13,2026-04-14,Switched to competitor,18.99,707.0,98,1,86.0,2026-04-12,Y,2.0,1.0
0248-IRSIL,John Maharjan,Nepal,Madhesh,Male,1992-08-16,Sports,44344,2023-11-02,Organic,premium,Monthly,2027-03-27,,,16.99,772.0,15,0,,,,,
0249-TEUII,Neha Adhikari,India,Punjab,Female,2002-04-18,Web Series,144264,2024-12-08,Organic,premium,Annually,2027-02-16,2026-05-14,Too expensive,14.99,1197.0,89,1,338.0,2026-05-08,Y,1.0,2.0
0250-QNLFC,Ruhul Adhikari,India,Tamil Nadu,Male,1990-10-20,Sports,600170,2024-01-27,Paid,basic,Monthly,2026-12-31,2026-05-18,Content fatigue,15.99,740.0,95,1,339.0,2026-05-16,Y,1.0,2.0
0251-AEVHN,John Patel,Nepal,Gandaki,Male,1971-04-18,Web Series,33797,2024-10-17,Refferal,basic,Monthly,2027-04-09,,,17.99,364.0,11,0,,,,,
0252-IUKLA,Ruhul Tamang,India,Assam,Male,1999-01-17,"Documentaries, Live TV",781283,2026-05-24,Refferal,basic,Annually,2026-09-02,,,26.99,809.0,17,0,,,,,
0253-KIYGT,Kavita Thapa,India,Rajasthan,Male,1998-10-24,"Documentaries, Live TV",302588,2025-12-04,Paid,standard,Monthly,2027-02-20,,,14.99,1498.0,29,0,,,,,
0254-LNQLX,Rahul Rai,Nepal,Kathmandu,Female,1984-07-01,"Movies, Sports",44641,2025-07-25,Paid,premium,Annually,2027-07-04,,,16.99,1279.0,24,0,,,,,
0255-QAPPC,Sunita Maharjan,India,Bihar,Female,1985-01-26,"Movies, Sports",800755,2024-04-09,Refferal,basic,Annually,2026-10-17,,,19.99,305.0,30,0,,,,,
0256-NXPZB,Rahul Tamang,India,Madhya Pradesh,Male,1974-05-10,"Documentaries, Live TV",462210,2026-05-01,Refferal,basic,Monthly,2026-09-23,,,22.99,342.0,23,0,237.0,2026-01-05,N,4.0,1.0
